osmid,x,y
173091588,-79.675888,36.331439
173091604,-79.6746794,36.3331556
173091616,-79.672878,36.336352
173091645,-79.671596,36.338822
173091658,-79.670836,36.340256
173091673,-79.669969,36.341996
173091686,-79.667966,36.344508
173091696,-79.666683,36.3461
173091710,-79.665575,36.346938
173091742,-79.553021,36.282526
173091770,-79.550449,36.282974
173091776,-79.9936317,36.3255839
173091826,-79.994719,36.324823
173091837,-79.9092231,36.3606709
173091851,-79.9081723,36.359773
173091860,-79.547202,36.340683
173091968,-79.544868,36.338197
173092027,-79.558797,36.439802
173092187,-79.5851111,36.4425167
173092297,-79.60489,36.439656
173092366,-79.6163728,36.4380575
173092386,-79.6207041,36.4378063
173092436,-79.6325795,36.4375047
173092469,-80.000269,36.497631
173092476,-80.000616,36.498493
173092555,-80.005026,36.503791
173092579,-80.007347,36.50627
173092635,-80.0115556,36.5111847
173092693,-80.017517,36.514124
173092880,-80.019647,36.5374998
173092917,-79.710192,36.297472
173092932,-79.709677,36.296513
173092938,-79.708644,36.399694
173092950,-79.705825,36.400097
173092962,-79.6927096,36.3112
173092965,-79.6930446,36.3127339
173092971,-79.6063589,36.4141843
173093065,-79.609904,36.422189
173093074,-79.61024,36.422855
173093082,-79.733104,36.525701
173093126,-79.731069,36.526828
173093134,-79.519198,36.531116
173093185,-79.520349,36.531564
173093195,-79.767278,36.33944
173093218,-79.766992,36.340856
173093227,-79.965778,36.414744
173093239,-79.9670086,36.4150662
173093242,-79.9682111,36.4153703
173093245,-79.96943,36.415678
173093249,-79.970642,36.415986
173093252,-79.9718624,36.4162988
173093263,-79.973044,36.416609
173093266,-79.974264,36.416919
173093268,-79.975493,36.4172338
173093270,-79.976652,36.417529
173093272,-79.978008,36.417873
173093278,-79.979175,36.418154
173093310,-79.688684,36.500972
173093358,-79.689975,36.503821
173093359,-79.690032,36.506043
173093399,-79.91187,36.469133
173093455,-79.636423,36.541471
173093474,-79.778772,36.4202184
173093496,-79.7796,36.421161
173093511,-79.783348,36.519479
173093517,-79.783371,36.518405
173093518,-79.8121714,36.5377311
173093580,-79.8087807,36.5396724
173093591,-79.808899,36.539961
173093597,-79.8662471,36.5416642
173093600,-79.8655686,36.5423663
173093614,-79.8612218,36.5368823
173093621,-79.6728404,36.3203459
173093643,-79.67617,36.320479
173093681,-79.638762,36.51471
173093869,-79.629994,36.496423
173093888,-79.707076,36.505355
173093891,-79.707546,36.506363
173093893,-79.70757,36.50641
