request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
282,BasicRequest,1,360,360,66;-1;-1,70;-1;-1,,,,,899.0544832953474,18846.24918146411,0:,,,,,,,,0
283,BasicRequest,1,360,360,45;-1;-1,154;-1;-1,,,,,423.07816776546713,8598.020002197307,0:,,,,,,,,0
284,BasicRequest,1,360,360,63;-1;-1,119;-1;-1,,,,,1760.9892088017732,35845.981181370356,0:,,,,,,,,0
293,BasicRequest,1,420,420,42;-1;-1,70;-1;-1,,,,,341.8382631141619,6072.130078080986,0:,,,,,,,,0
294,BasicRequest,1,420,420,81;-1;-1,120;-1;-1,,,,,1115.4091972922824,21103.973757185922,0:,,,,,,,,0
297,BasicRequest,1,420,420,81;-1;-1,46;-1;-1,,,,,1592.6033483014255,31311.76971903681,0:,,,,,,,,0
299,BasicRequest,1,420,420,42;-1;-1,70;-1;-1,,,,,341.8382631141619,6072.130078080986,0:,,,,,,,,0
300,BasicRequest,1,420,420,76;-1;-1,144;-1;-1,,,,,1247.747859596648,26992.202663315846,0:,,,,,,,,0
303,BasicRequest,1,420,420,76;-1;-1,91;-1;-1,,,,,984.7685545910911,18068.875249658835,0:,,,,,,,,0
304,BasicRequest,1,420,420,43;-1;-1,63;-1;-1,,,,,899.8241090646745,17010.69801247768,0:,,,,,,,,0
306,BasicRequest,1,480,480,77;-1;-1,75;-1;-1,,,,,1220.786848395757,21796.48937268286,0:,,,,,,,,0
307,BasicRequest,1,480,480,101;-1;-1,76;-1;-1,,,,,1162.2638965205892,22072.0601682385,0:,,,,,,,,0
310,BasicRequest,1,480,480,61;-1;-1,42;-1;-1,,,,,1589.1962889360307,31612.50483500857,0:,,,,,,,,0
314,BasicRequest,1,480,480,122;-1;-1,70;-1;-1,,,,,2214.525937290421,44490.363095570894,0:,,,,,,,,0
321,BasicRequest,1,480,480,121;-1;-1,126;-1;-1,,,,,1198.1837887715142,28541.500240466674,0:,,,,,,,,0
323,BasicRequest,1,480,480,76;-1;-1,119;-1;-1,,,,,1765.6422768829066,35873.642520894406,0:,,,,,,,,0
328,BasicRequest,1,540,540,43;-1;-1,76;-1;-1,,,,,778.3876780057901,14949.982822033908,0:,,,,,,,,0
335,BasicRequest,1,540,540,77;-1;-1,81;-1;-1,,,,,952.9517483011577,18154.674982806006,0:,,,,,,,,0
336,BasicRequest,1,540,540,43;-1;-1,63;-1;-1,,,,,899.8241090646745,17010.69801247768,0:,,,,,,,,0
338,BasicRequest,1,540,540,63;-1;-1,46;-1;-1,,,,,1973.450427701322,40850.64143576572,0:,,,,,,,,0
340,BasicRequest,1,540,540,77;-1;-1,70;-1;-1,,,,,1045.2633980773717,19868.43046176045,0:,,,,,,,,0
341,BasicRequest,1,540,540,78;-1;-1,77;-1;-1,,,,,41.894816480183295,639.8942504914226,0:,,,,,,,,0
346,BasicRequest,1,540,540,64;-1;-1,154;-1;-1,,,,,1241.4601926422133,27452.42320493014,0:,,,,,,,,0
360,BasicRequest,1,600,600,63;-1;-1,131;-1;-1,,,,,1473.2353486125207,28388.036020190466,0:,,,,,,,,0
361,BasicRequest,1,600,600,58;-1;-1,61;-1;-1,,,,,457.52319665922056,8565.72066623081,0:,,,,,,,,0
364,BasicRequest,1,600,600,105;-1;-1,70;-1;-1,,,,,2477.732744559219,52718.63561733077,0:,,,,,,,,0
367,BasicRequest,1,600,600,79;-1;-1,83;-1;-1,,,,,1298.1131670115553,25857.711359920155,0:,,,,,,,,0
371,BasicRequest,1,600,600,2;-1;-1,70;-1;-1,,,,,2588.381495198731,54408.6656808775,0:,,,,,,,,0
376,BasicRequest,1,660,660,76;-1;-1,81;-1;-1,,,,,916.3933267233016,17596.287913948043,0:,,,,,,,,0
378,BasicRequest,1,660,660,2;-1;-1,70;-1;-1,,,,,2588.381495198731,54408.6656808775,0:,,,,,,,,0
380,BasicRequest,1,660,660,76;-1;-1,81;-1;-1,,,,,916.3933267233016,17596.287913948043,0:,,,,,,,,0
381,BasicRequest,1,660,660,76;-1;-1,81;-1;-1,,,,,916.3933267233016,17596.287913948043,0:,,,,,,,,0
383,BasicRequest,1,660,660,76;-1;-1,137;-1;-1,,,,,711.5759414586843,13910.28757299963,0:,,,,,,,,0
385,BasicRequest,1,660,660,77;-1;-1,81;-1;-1,,,,,952.9517483011577,18154.674982806006,0:,,,,,,,,0
386,BasicRequest,1,660,660,76;-1;-1,78;-1;-1,,,,,5.336394902327004,81.5071816334603,0:,,,,,,,,0
389,BasicRequest,1,660,660,77;-1;-1,70;-1;-1,,,,,1045.2633980773717,19868.43046176045,0:,,,,,,,,0
390,BasicRequest,1,660,660,76;-1;-1,1;-1;-1,,,,,2573.189872440929,53302.29901507224,0:,,,,,,,,0
394,BasicRequest,1,660,660,76;-1;-1,101;-1;-1,,,,,1162.2638965205892,22072.060168238502,0:,,,,,,,,0
398,BasicRequest,1,720,720,105;-1;-1,70;-1;-1,,,,,2477.732744559219,52718.63561733077,0:,,,,,,,,0
399,BasicRequest,1,720,720,66;-1;-1,58;-1;-1,,,,,1909.542554809256,38512.835719668605,0:,,,,,,,,0
401,BasicRequest,1,720,720,77;-1;-1,70;-1;-1,,,,,1045.2633980773717,19868.43046176045,0:,,,,,,,,0
402,BasicRequest,1,720,720,120;-1;-1,81;-1;-1,,,,,1114.0233304609194,21081.940551763306,0:,,,,,,,,0
403,BasicRequest,1,720,720,77;-1;-1,81;-1;-1,,,,,952.9517483011577,18154.674982806006,0:,,,,,,,,0
404,BasicRequest,1,720,720,62;-1;-1,70;-1;-1,,,,,978.4492359446217,21308.601575356333,0:,,,,,,,,0
406,BasicRequest,1,720,720,65;-1;-1,70;-1;-1,,,,,930.9127345542736,19332.846653992503,0:,,,,,,,,0
409,BasicRequest,1,720,720,162;-1;-1,66;-1;-1,,,,,670.4308893494219,12208.452600429591,0:,,,,,,,,0
410,BasicRequest,1,720,720,76;-1;-1,78;-1;-1,,,,,5.336394902327004,81.5071816334603,0:,,,,,,,,0
411,BasicRequest,1,720,720,77;-1;-1,75;-1;-1,,,,,1220.786848395757,21796.48937268286,0:,,,,,,,,0
412,BasicRequest,1,720,720,129;-1;-1,118;-1;-1,,,,,917.0594312599652,16399.44026051463,0:,,,,,,,,0
418,BasicRequest,1,720,720,76;-1;-1,81;-1;-1,,,,,916.3933267233016,17596.287913948043,0:,,,,,,,,0
421,BasicRequest,1,720,720,77;-1;-1,78;-1;-1,,,,,41.89481648018328,639.8942504914223,0:,,,,,,,,0
423,BasicRequest,1,720,720,3;-1;-1,81;-1;-1,,,,,1218.820061494846,22857.37363971249,0:,,,,,,,,0
424,BasicRequest,1,720,720,154;-1;-1,77;-1;-1,,,,,1376.6155800928213,29483.17274383898,0:,,,,,,,,0
425,BasicRequest,1,720,720,121;-1;-1,126;-1;-1,,,,,1198.1837887715142,28541.500240466674,0:,,,,,,,,0
426,BasicRequest,1,720,720,101;-1;-1,81;-1;-1,,,,,322.6401151142046,6346.3599712549185,0:,,,,,,,,0
428,BasicRequest,1,720,720,129;-1;-1,144;-1;-1,,,,,277.5549812091118,4971.793727019012,0:,,,,,,,,0
437,BasicRequest,1,780,780,77;-1;-1,81;-1;-1,,,,,952.9517483011577,18154.674982806006,0:,,,,,,,,0
438,BasicRequest,1,780,780,76;-1;-1,78;-1;-1,,,,,5.336394902327004,81.5071816334603,0:,,,,,,,,0
440,BasicRequest,1,780,780,76;-1;-1,75;-1;-1,,,,,1184.2284268179008,21238.102303824897,0:,,,,,,,,0
445,BasicRequest,1,780,780,77;-1;-1,81;-1;-1,,,,,952.9517483011577,18154.674982806006,0:,,,,,,,,0
453,BasicRequest,1,780,780,105;-1;-1,70;-1;-1,,,,,2477.732744559219,52718.63561733077,0:,,,,,,,,0
459,BasicRequest,1,780,780,77;-1;-1,5;-1;-1,,,,,1086.426112400113,19268.694481479724,0:,,,,,,,,0
461,BasicRequest,1,780,780,77;-1;-1,78;-1;-1,,,,,41.89481648018328,639.8942504914223,0:,,,,,,,,0
462,BasicRequest,1,780,780,76;-1;-1,137;-1;-1,,,,,711.5759414586843,13910.28757299963,0:,,,,,,,,0
478,BasicRequest,1,840,840,73;-1;-1,83;-1;-1,,,,,939.094156268456,16900.530699102717,0:,,,,,,,,0
483,BasicRequest,1,840,840,77;-1;-1,46;-1;-1,,,,,2263.5838305210327,45600.49157749291,0:,,,,,,,,0
486,BasicRequest,1,840,840,43;-1;-1,63;-1;-1,,,,,899.8241090646745,17010.69801247768,0:,,,,,,,,0
498,BasicRequest,1,840,840,129;-1;-1,22;-1;-1,,,,,946.2790289173805,17248.122520484838,0:,,,,,,,,0
499,BasicRequest,1,840,840,76;-1;-1,79;-1;-1,,,,,891.4946287809217,17215.989466630876,0:,,,,,,,,0
503,BasicRequest,1,900,900,76;-1;-1,43;-1;-1,,,,,778.3876780057903,14949.982822033908,0:,,,,,,,,0
504,BasicRequest,1,900,900,78;-1;-1,77;-1;-1,,,,,41.894816480183295,639.8942504914226,0:,,,,,,,,0
506,BasicRequest,1,900,900,105;-1;-1,70;-1;-1,,,,,2477.732744559219,52718.63561733077,0:,,,,,,,,0
507,BasicRequest,1,900,900,105;-1;-1,70;-1;-1,,,,,2477.732744559219,52718.63561733077,0:,,,,,,,,0
508,BasicRequest,1,900,900,8;-1;-1,77;-1;-1,,,,,1285.5106582616327,24738.38479459894,0:,,,,,,,,0
511,BasicRequest,1,900,900,63;-1;-1,46;-1;-1,,,,,1973.450427701322,40850.64143576572,0:,,,,,,,,0
516,BasicRequest,1,900,900,121;-1;-1,126;-1;-1,,,,,1198.1837887715142,28541.500240466674,0:,,,,,,,,0
517,BasicRequest,1,900,900,46;-1;-1,70;-1;-1,,,,,1473.8044177157267,29159.673419118968,0:,,,,,,,,0
520,BasicRequest,1,900,900,76;-1;-1,119;-1;-1,,,,,1765.6422768829066,35873.642520894406,0:,,,,,,,,0
524,BasicRequest,1,900,900,122;-1;-1,70;-1;-1,,,,,2214.525937290421,44490.363095570894,0:,,,,,,,,0
525,BasicRequest,1,900,900,121;-1;-1,126;-1;-1,,,,,1198.1837887715142,28541.500240466674,0:,,,,,,,,0
528,BasicRequest,1,900,900,77;-1;-1,125;-1;-1,,,,,2298.859726661115,48883.679520742575,0:,,,,,,,,0
536,BasicRequest,1,900,900,77;-1;-1,78;-1;-1,,,,,41.89481648018328,639.8942504914223,0:,,,,,,,,0
539,BasicRequest,1,960,960,46;-1;-1,81;-1;-1,,,,,1595.538395755941,31365.997166955385,0:,,,,,,,,0
540,BasicRequest,1,960,960,66;-1;-1,35;-1;-1,,,,,1434.2274775586575,28488.83257897584,0:,,,,,,,,0
543,BasicRequest,1,960,960,46;-1;-1,66;-1;-1,,,,,1974.713814427657,39312.52105634629,0:,,,,,,,,0
548,BasicRequest,1,960,960,83;-1;-1,75;-1;-1,,,,,1794.9416672169236,39642.91760996338,0:,,,,,,,,0
550,BasicRequest,1,960,960,63;-1;-1,65;-1;-1,,,,,89.48241851405407,1366.7391323767868,0:,,,,,,,,0
553,BasicRequest,1,960,960,66;-1;-1,63;-1;-1,,,,,121.34066977298039,1853.3366049051801,0:,,,,,,,,0
554,BasicRequest,1,960,960,46;-1;-1,70;-1;-1,,,,,1473.8044177157267,29159.673419118968,0:,,,,,,,,0
557,BasicRequest,1,960,960,82;-1;-1,77;-1;-1,,,,,1939.0936980056413,39164.888920478596,0:,,,,,,,,0
559,BasicRequest,1,960,960,121;-1;-1,126;-1;-1,,,,,1198.1837887715142,28541.500240466674,0:,,,,,,,,0
561,BasicRequest,1,960,960,63;-1;-1,43;-1;-1,,,,,911.3974305078012,17423.836446062644,0:,,,,,,,,0
562,BasicRequest,1,960,960,77;-1;-1,24;-1;-1,,,,,1881.2140850363867,37165.16802136554,0:,,,,,,,,0
564,BasicRequest,1,960,960,76;-1;-1,33;-1;-1,,,,,1869.4210977097837,36973.17170279457,0:,,,,,,,,0
566,BasicRequest,1,960,960,118;-1;-1,66;-1;-1,,,,,1772.130487336311,36827.44976109423,0:,,,,,,,,0
568,BasicRequest,1,960,960,149;-1;-1,63;-1;-1,,,,,714.5531982082788,13302.378015438255,0:,,,,,,,,0
569,BasicRequest,1,960,960,77;-1;-1,61;-1;-1,,,,,2192.8203351456605,44457.85344322045,0:,,,,,,,,0
570,BasicRequest,1,960,960,63;-1;-1,149;-1;-1,,,,,720.4278191261662,13292.76614182852,0:,,,,,,,,0
571,BasicRequest,1,960,960,152;-1;-1,70;-1;-1,,,,,1007.6922464258487,18345.201294090362,0:,,,,,,,,0
572,BasicRequest,1,960,960,46;-1;-1,81;-1;-1,,,,,1595.538395755941,31365.997166955385,0:,,,,,,,,0
574,BasicRequest,1,1020,1020,43;-1;-1,66;-1;-1,,,,,778.4834392916941,15157.361407572498,0:,,,,,,,,0
577,BasicRequest,1,1020,1020,105;-1;-1,70;-1;-1,,,,,2477.732744559219,52718.63561733077,0:,,,,,,,,0
583,BasicRequest,1,1020,1020,121;-1;-1,126;-1;-1,,,,,1198.1837887715142,28541.500240466674,0:,,,,,,,,0
584,BasicRequest,1,1020,1020,77;-1;-1,81;-1;-1,,,,,952.9517483011577,18154.674982806006,0:,,,,,,,,0
586,BasicRequest,1,1020,1020,73;-1;-1,81;-1;-1,,,,,563.2891734773792,10508.747234940034,0:,,,,,,,,0
589,BasicRequest,1,1020,1020,76;-1;-1,119;-1;-1,,,,,1765.6422768829066,35873.642520894406,0:,,,,,,,,0
590,BasicRequest,1,1020,1020,76;-1;-1,134;-1;-1,,,,,1905.812566823165,35801.235767584556,0:,,,,,,,,0
592,BasicRequest,1,1020,1020,122;-1;-1,70;-1;-1,,,,,2214.525937290421,44490.363095570894,0:,,,,,,,,0
596,BasicRequest,1,1020,1020,70;-1;-1,77;-1;-1,,,,,1009.0792351145055,19897.581353060094,0:,,,,,,,,0
597,BasicRequest,1,1020,1020,112;-1;-1,63;-1;-1,,,,,2252.1984102302545,46392.471041063916,0:,,,,,,,,0
604,BasicRequest,1,1020,1020,122;-1;-1,70;-1;-1,,,,,2214.525937290421,44490.363095570894,0:,,,,,,,,0
612,BasicRequest,1,1080,1080,70;-1;-1,75;-1;-1,,,,,1501.4299507934536,29541.39797158317,0:,,,,,,,,0
615,BasicRequest,1,1080,1080,75;-1;-1,81;-1;-1,,,,,1461.4662729437532,28390.335076294963,0:,,,,,,,,0
616,BasicRequest,1,1080,1080,77;-1;-1,81;-1;-1,,,,,952.9517483011577,18154.674982806006,0:,,,,,,,,0
620,BasicRequest,1,1080,1080,70;-1;-1,75;-1;-1,,,,,1501.4299507934536,29541.39797158317,0:,,,,,,,,0
622,BasicRequest,1,1080,1080,129;-1;-1,63;-1;-1,,,,,1150.6662761574785,24151.804006826478,0:,,,,,,,,0
629,BasicRequest,1,1080,1080,75;-1;-1,81;-1;-1,,,,,1461.4662729437532,28390.335076294963,0:,,,,,,,,0
