DateOfTrip,Mobility Aid,Trip Purpose,OrigX,OrigY,DestX,DestY
2024-04-22,,Medical,36.388,-79.966,36.521,-79.773
2024-04-22,,LEAF Center,36.284,-79.552,36.363,-79.67
2024-04-22,,LEAF Center,36.363,-79.67,36.284,-79.552
2024-04-22,,Medical,36.503,-79.782,36.388,-79.751
2024-04-22,,Medical,36.388,-79.751,36.503,-79.782
2024-04-22,,Medical,36.328,-79.664,36.34,-79.684
2024-04-22,,Medical,36.34,-79.684,36.328,-79.664
2024-04-22,WC,Dialysis,36.36,-79.659,36.324,-79.641
2024-04-22,WC,Dialysis,36.324,-79.641,36.36,-79.659
2024-04-22,,Dialysis,36.36,-79.662,36.324,-79.641
2024-04-22,,Dialysis,36.324,-79.641,36.36,-79.662
2024-04-22,,Dialysis,36.493,-79.782,36.493,-79.747
2024-04-22,,Dialysis,36.493,-79.747,36.493,-79.782
2024-04-22,,Community Support CSP,36.403,-79.658,36.389,-79.742
2024-04-22,,Community Support CSP,36.389,-79.742,36.403,-79.658
2024-04-22,,Medical,36.357,-79.685,36.495,-79.742
2024-04-22,,Medical,36.495,-79.742,36.357,-79.685
2024-04-22,,Dialysis,36.35,-79.69,36.324,-79.641
2024-04-22,,Dialysis,36.324,-79.641,36.35,-79.69
2024-04-22,WC,Dialysis,36.334,-79.628,36.331,-79.692
2024-04-22,WC,Dialysis,36.331,-79.692,36.334,-79.628
2024-04-22,,Dialysis,36.276,-79.602,36.324,-79.641
2024-04-22,,Dialysis,36.324,-79.641,36.276,-79.602
2024-04-22,,Dialysis,36.327,-79.676,36.324,-79.641
2024-04-22,,Dialysis,36.324,-79.641,36.327,-79.676
2024-04-22,,Medical,36.487,-79.766,36.34,-79.684
2024-04-22,,Medical,36.34,-79.684,36.487,-79.766
2024-04-22,,Medical,36.505,-79.676,36.36,-79.665
2024-04-22,,Medical,36.36,-79.665,36.505,-79.676
2024-04-22,,Dialysis,42.342,-71.05,36.324,-79.641
2024-04-22,,Dialysis,36.324,-79.641,42.342,-71.05
2024-04-22,,LEAF Center,36.35,-79.69,36.363,-79.67
2024-04-22,,LEAF Center,36.363,-79.67,36.35,-79.69
2024-04-22,,Dialysis,36.419,-79.697,36.324,-79.641
2024-04-22,WC,Dialysis,36.26,-79.633,36.331,-79.692
2024-04-22,WC,Dialysis,36.331,-79.692,36.26,-79.633
2024-04-22,,Dialysis,36.501,-79.763,36.493,-79.747
2024-04-22,,Dialysis,36.493,-79.747,36.501,-79.763
2024-04-22,,LEAF Center,36.517,-79.697,36.363,-79.67
2024-04-22,,LEAF Center,36.363,-79.67,36.517,-79.697
2024-04-22,WK,Dialysis,36.372,-79.658,36.331,-79.692
2024-04-22,WK,Dialysis,36.331,-79.692,36.372,-79.658
2024-04-22,,Dialysis,36.378,-79.989,36.331,-79.692
2024-04-22,,Dialysis,36.331,-79.692,36.378,-79.989
2024-04-22,,UMAR,36.328,-79.664,36.359,-79.664
2024-04-22,,UMAR,36.497,-79.779,36.359,-79.664
2024-04-22,,UMAR,36.359,-79.664,36.497,-79.779
2024-04-22,,UMAR,36.359,-79.664,36.328,-79.664
2024-04-22,,UMAR,36.359,-79.664,36.522,-79.693
2024-04-22,,UMAR,36.522,-79.693,36.359,-79.664
2024-04-22,,Employment,36.466,-79.883,36.359,-79.664
2024-04-22,,Employment,36.359,-79.664,36.466,-79.883
2024-04-22,,UMAR,36.395,-79.675,36.359,-79.664
2024-04-22,,UMAR,36.359,-79.664,36.395,-79.675
2024-04-22,,UMAR,36.459,-79.907,36.359,-79.664
2024-04-22,,UMAR,36.359,-79.664,36.459,-79.907
2024-04-22,,UMAR,36.505,-79.706,36.359,-79.664
2024-04-22,,UMAR,36.359,-79.664,36.505,-79.706
2024-04-22,,UMAR,36.488,-79.756,36.359,-79.664
2024-04-22,,UMAR,36.359,-79.664,36.488,-79.756
2024-04-22,,UMAR,36.418,-79.761,36.359,-79.664
2024-04-22,,UMAR,36.359,-79.664,36.418,-79.761
2024-04-22,,UMAR,36.522,-79.77,36.359,-79.664
2024-04-22,,UMAR,36.359,-79.664,36.522,-79.77
2024-04-22,,LEAF Center,36.455,-79.733,36.363,-79.67
2024-04-22,,LEAF Center,36.363,-79.67,36.455,-79.733
2024-04-22,,Medical,36.496,-79.768,36.331,-79.69
2024-04-22,,Medical,36.331,-79.69,36.496,-79.768
2024-04-22,WK,Medical,36.459,-79.897,36.331,-79.692
