origin_zone,dest_zone,trips,travel_time,distance_miles
80,46,3,26,15.167
80,62,1,26,15.167
80,63,1,25,14.583
80,66,6,23,13.417
80,70,2,10,5.833
80,75,5,7,4.083
80,76,1,7,4.083
80,77,160,9,5.25
80,80,2,0,0.0
80,81,7,8,4.667
80,82,10,21,12.25
80,84,3,22,12.833
81,1,25,21,12.25
81,2,3,20,11.667
81,3,10,14,8.167
81,4,1,18,10.5
81,5,8,16,9.333
81,6,1,11,6.417
81,7,10,13,7.583
81,8,12,19,11.083
81,9,7,24,14.0
81,10,1,17,9.917
81,11,75,13,7.583
81,13,3,28,16.333
81,14,15,17,9.917
81,15,1,26,15.167
81,16,1,23,13.417
81,17,5,17,9.917
81,19,10,15,8.75
81,21,1,25,14.583
81,24,15,35,20.417
81,25,2,35,20.417
81,30,4,44,25.667
81,36,3,14,8.167
81,37,1,18,10.5
81,38,16,20,11.667
81,39,11,24,14.0
81,42,2,29,16.917
81,43,70,26,15.167
81,44,1,27,15.75
81,45,9,27,15.75
81,46,148,24,14.0
81,47,1,31,18.083
81,49,2,21,12.25
81,52,2,37,21.583
81,53,3,28,16.333
81,54,1,33,19.25
81,56,4,31,18.083
81,58,1,29,16.917
81,59,28,25,14.583
81,60,7,26,15.167
81,61,71,23,13.417
81,62,103,23,13.417
81,63,66,22,12.833
81,64,17,19,11.083
81,65,10,23,13.417
81,66,70,21,12.25
81,67,3,25,14.583
81,69,52,13,7.583
81,70,433,6,3.5
81,72,14,9,5.25
81,73,7,11,6.417
81,74,2,10,5.833
81,75,231,7,4.083
81,76,327,10,5.833
81,77,602,7,4.083
81,78,1,10,5.833
81,79,92,6,3.5
81,80,7,8,4.667
81,81,488,0,0.0
81,82,17,16,9.333
81,83,20,12,7.0
81,84,1,17,9.917
81,85,2,15,8.75
81,89,8,21,12.25
81,90,14,10,5.833
81,91,53,8,4.667
81,93,59,15,8.75
81,95,19,19,11.083
81,97,2,11,6.417
81,98,31,15,8.75
81,99,14,11,6.417
81,100,3,14,8.167
81,101,14,12,7.0
81,103,1,23,13.417
81,104,2,19,11.083
81,105,1,17,9.917
81,107,2,46,26.833
81,108,1,44,25.667
81,110,3,37,21.583
81,112,47,36,21.0
81,114,5,45,26.25
81,118,4,38,22.167
81,119,2,35,20.417
81,120,245,38,22.167
81,122,4,44,25.667
81,127,3,31,18.083
81,128,1,33,19.25
81,129,36,31,18.083
81,131,49,37,21.583
81,132,38,33,19.25
81,135,1,40,23.333
81,138,1,18,10.5
81,140,1,26,15.167
81,141,5,26,15.167
81,142,4,17,9.917
81,143,2,28,16.333
81,150,8,23,13.417
81,151,1,32,18.667
81,153,2,31,18.083
81,154,11,26,15.167
81,156,3,21,12.25
81,157,5,25,14.583
81,158,1,26,15.167
81,160,2,30,17.5
81,161,4,36,21.0
81,162,3,29,16.917
81,163,4,29,16.917
82,1,1,32,18.667
82,2,6,31,18.083
82,8,5,29,16.917
82,13,8,40,23.333
82,16,3,30,17.5
82,17,1,23,13.417
82,25,6,29,16.917
82,27,1,34,19.833
82,34,2,31,18.083
82,42,3,26,15.167
82,43,8,24,14.0
82,45,2,26,15.167
82,46,16,23,13.417
82,52,2,35,20.417
82,56,2,28,16.333
82,57,8,24,14.0
82,59,6,27,15.75
82,61,4,25,14.583
82,62,8,25,14.583
82,63,4,23,13.417
82,65,7,25,14.583
82,66,3,23,13.417
82,70,10,16,9.333
82,74,2,17,9.917
82,75,1,19,11.083
82,77,123,16,9.333
82,79,9,18,10.5
82,80,8,21,12.25
82,81,11,16,9.333
82,82,4,0,0.0
82,90,1,11,6.417
82,91,11,14,8.167
82,93,1,21,12.25
82,95,2,23,13.417
82,103,2,28,16.333
82,105,3,22,12.833
82,112,4,30,17.5
82,118,6,34,19.833
82,119,3,33,19.25
82,120,2,32,18.667
82,129,1,25,14.583
82,130,3,31,18.083
82,131,1,31,18.083
82,132,1,27,15.75
82,133,2,33,19.25
82,136,1,30,17.5
82,153,2,32,18.667
82,154,13,27,15.75
82,156,1,26,15.167
83,3,3,20,11.667
83,13,3,36,21.0
83,20,89,22,12.833
83,24,10,28,16.333
83,29,1,38,22.167
83,33,1,37,21.583
83,42,1,25,14.583
83,43,13,23,13.417
83,46,22,22,12.833
83,56,10,27,15.75
83,57,3,22,12.833
83,58,1,30,17.5
83,59,8,26,15.167
83,60,1,27,15.75
83,61,10,24,14.0
83,62,3,24,14.0
83,63,7,21,12.25
83,65,60,24,14.0
83,66,57,21,12.25
83,70,16,12,7.0
83,73,173,15,8.75
83,75,458,15,8.75
83,79,200,14,8.167
83,81,16,12,7.0
83,82,1,9,5.25
83,93,3,18,10.5
83,95,1,22,12.833
83,103,2,26,15.167
83,105,2,20,11.667
83,109,2,45,26.25
83,119,6,31,18.083
83,121,1,39,22.75
83,129,1,24,14.0
