origin_zone,dest_zone,trips,travel_time,distance_miles
83,133,4,32,18.667
83,136,4,29,16.917
83,140,231,18,10.5
83,142,2,12,7.0
83,152,2,33,19.25
83,154,8,26,15.167
83,162,1,35,20.417
84,8,1,30,17.5
84,27,2,29,16.917
84,42,3,25,14.583
84,43,6,23,13.417
84,46,4,22,12.833
84,56,1,27,15.75
84,62,1,24,14.0
84,63,3,21,12.25
84,65,1,24,14.0
84,66,2,21,12.25
84,70,4,17,9.917
84,74,1,18,10.5
84,75,1,20,11.667
84,79,1,19,11.083
84,80,2,22,12.833
84,81,2,17,9.917
84,90,2,12,7.0
84,91,2,15,8.75
84,112,2,24,14.0
84,132,3,21,12.25
84,154,2,26,15.167
85,43,7,23,13.417
85,56,42,27,15.75
85,70,1,14,8.167
85,81,2,14,8.167
85,129,3,24,14.0
85,144,3,36,21.0
86,70,238,21,12.25
86,77,32,20,11.667
86,86,2,0,0.0
86,129,1,27,15.75
87,77,89,6,3.5
87,87,1,0,0.0
88,76,129,24,14.0
89,81,9,21,12.25
90,62,2,25,14.583
90,70,1,10,5.833
90,77,3,9,5.25
90,81,14,9,5.25
90,82,1,12,7.0
90,84,2,13,7.583
91,62,4,22,12.833
91,63,3,21,12.25
91,64,2,17,9.917
91,66,26,19,11.083
91,70,186,7,4.083
91,75,11,11,6.417
91,76,152,13,7.583
91,77,117,5,2.917
91,81,71,7,4.083
91,82,11,14,8.167
91,84,2,15,8.75
91,91,3,0,0.0
91,131,2,35,20.417
92,66,12,28,16.333
92,70,1,16,9.333
93,62,2,18,10.5
93,63,6,17,9.917
93,64,1,13,7.583
93,66,3,15,8.75
93,70,2,9,5.25
93,73,2,9,5.25
93,75,1,17,9.917
93,77,7,13,7.583
93,81,61,14,8.167
93,82,1,21,12.25
93,83,4,17,9.917
93,129,1,37,21.583
93,131,1,35,20.417
94,75,1,19,11.083
95,62,1,20,11.667
95,63,2,19,11.083
95,70,1,13,7.583
95,75,2,22,12.833
95,77,1,18,10.5
95,81,19,18,10.5
95,82,4,24,14.0
95,83,1,22,12.833
95,129,2,38,22.167
96,63,2,19,11.083
96,64,1,15,8.75
96,70,1,13,7.583
96,73,1,11,6.417
97,46,1,23,13.417
97,77,2,14,8.167
97,81,4,12,7.0
98,62,3,27,15.75
98,63,2,25,14.583
98,66,3,24,14.0
98,70,31,13,7.583
98,77,2,17,9.917
98,81,34,16,9.333
99,63,1,21,12.25
99,77,5,13,7.583
99,81,13,11,6.417
100,81,4,14,8.167
100,129,1,36,21.0
101,63,5,12,7.0
101,76,33,15,8.75
101,77,1,12,7.0
101,81,13,13,7.583
101,101,1,0,0.0
102,131,1,30,17.5
103,62,1,19,11.083
103,63,1,18,10.5
103,66,3,16,9.333
103,81,1,24,14.0
103,82,2,29,16.917
103,83,3,27,15.75
104,75,2,21,12.25
104,77,3,18,10.5
104,81,2,19,11.083
105,70,194,11,6.417
105,81,1,17,9.917
105,82,3,22,12.833
105,83,3,20,11.667
106,64,1,33,19.25
106,66,2,35,20.417
106,129,1,23,13.417
107,63,2,32,18.667
107,66,1,35,20.417
107,81,1,46,26.833
107,129,3,23,13.417
107,131,1,22,12.833
108,81,1,44,25.667
109,83,2,45,26.25
110,46,6,26,15.167
110,63,1,25,14.583
110,70,2,34,19.833
110,81,3,36,21.0
111,63,24,32,18.667
112,61,23,29,16.917
112,62,3,31,18.083
112,63,64,25,14.583
112,64,3,26,15.167
112,66,18,28,16.333
112,70,3,34,19.833
112,75,1,39,22.75
112,77,17,36,21.0
112,81,47,36,21.0
112,82,4,31,18.083
112,84,2,25,14.583
112,110,1,11,6.417
112,118,1,15,8.75
112,129,30,8,4.667
112,131,1,8,4.667
112,134,1,18,10.5
113,64,1,29,16.917
114,63,60,34,19.833
114,81,5,45,26.25
115,129,6,22,12.833
116,70,10,41,23.917
116,116,3,0,0.0
117,129,1,19,11.083
118,62,3,28,16.333
118,63,52,22,12.833
118,64,12,23,13.417
118,66,22,25,14.583
118,75,2,40,23.333
118,77,2,36,21.0
118,81,5,37,21.583
118,82,6,34,19.833
118,112,1,14,8.167
118,118,1,0,0.0
118,129,24,17,9.917
119,46,3,20,11.667
119,63,151,19,11.083
119,70,150,29,16.917
119,76,153,37,21.583
119,77,4,34,19.833
119,81,2,35,20.417
119,82,3,31,18.083
119,83,7,31,18.083
119,119,3,0,0.0
119,129,1,18,10.5
120,70,90,36,21.0
120,75,1,42,24.5
120,77,7,39,22.75
120,81,244,39,22.75
120,82,2,34,19.833
120,129,9,16,9.333
120,131,2,15,8.75
121,62,1,35,20.417
121,83,1,40,23.333
121,121,7,0,0.0
121,126,251,35,20.417
121,129,7,24,14.0
122,63,27,29,16.917
122,70,211,38,22.167
122,77,2,43,25.083
122,81,5,44,25.667
122,122,1,0,0.0
122,129,6,26,15.167
122,131,2,25,14.583
123,63,3,27,15.75
124,70,1,50,29.167
124,124,1,0,0.0
125,77,142,36,21.0
125,125,1,0,0.0
125,129,1,21,12.25
126,121,230,34,19.833
127,81,3,34,19.833
128,70,135,32,18.667
128,81,1,32,18.667
128,128,1,0,0.0
129,14,2,43,25.083
129,22,1,34,19.833
129,24,17,7,4.083
129,25,13,7,4.083
129,27,1,15,8.75
129,32,4,27,15.75
